MnFeCoNiAlCu
strain_r: 0.001
temperature: 300
element: Mn, Fe-Ni-Co, Al-Cu
ratio:100,33.0:33.0:33.0,50.0:50.0
structure: fcc
data:
Mn,Fe,Co,Ni,Al,Cu
12.60,12.09,11.12,10.94,16.472, 11.810
338.84,26.375,262.89,199.1,65.498, 128.6
130.52,8.9429,101.66,76.0,23.922, 48.0
Start of Predicted Data
psA,psB,psC,Mn,Fe,Ni,Co,Al,Cu,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,tau_y0,Delta_Eb,Delta_sigma_ss
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,14.141000000000004,2.7143449580833208,97.049,35.961,0.3493645894163122,0.01358608435721727,194.36585156070223,1.3529117598548743,323.51128128834216
0.0,0.05,0.95,0.0,0.017,0.017,0.017,0.475,0.475,14.00311666666667,2.7054939576016235,100.33596666666668,37.27299833333333,0.34596049624663516,0.014115810967560335,204.53729749931668,1.3991736432869244,346.76815801833794
0.0,0.1,0.9,0.0,0.033,0.033,0.033,0.45,0.45,13.865233333333336,2.6965846631296646,103.62293333333335,38.58499666666666,0.3427879005475274,0.014565132909370499,214.14130435495497,1.4422818049877852,368.9027687930006
0.0,0.15,0.85,0.0,0.05,0.05,0.05,0.425,0.425,13.727350000000001,2.6876161052477454,106.9099,39.896995,0.3398239641857739,0.014928859468432795,223.0891440994317,1.4820385670407716,389.6767978590486
0.0,0.2,0.8,0.0,0.067,0.067,0.067,0.4,0.4,13.58946666666667,2.678587288481834,110.19686666666666,41.208993333333325,0.3370487574799612,0.015201475789254926,231.2809689216036,1.5182100127957703,408.82939873848323
0.0,0.25,0.75,0.0,0.083,0.083,0.083,0.375,0.375,13.451583333333335,2.669497190330925,113.48383333333334,42.52099166666667,0.3344448104945814,0.015377120386906548,238.60450259365817,1.5505218934876848,426.07398222358586
0.0,0.3,0.7,0.0,0.1,0.1,0.1,0.35,0.35,13.3137,2.6603447602477024,116.7708,43.83299,0.33199674491746967,0.015449560892596649,244.93329203880126,1.5786531173218545,441.09429065835724
0.0,0.35,0.65,0.0,0.117,0.117,0.117,0.325,0.325,13.175816666666668,2.651128918569765,120.05776666666665,45.14498833333333,0.329690970127249,0.015412167876298477,250.1244126426604,1.6022262530310438,453.53954121166447
0.0,0.4,0.6,0.0,0.133,0.133,0.133,0.3,0.3,13.037933333333337,2.641848555398473,123.34473333333334,46.456986666666666,0.32751543076118605,0.015257886574141052,254.01545866370788,1.6207940544786044,463.0183273832076
0.0,0.45,0.55,0.0,0.15,0.15,0.15,0.275,0.275,12.900050000000002,2.6325025294222577,126.6317,47.768985,0.32545939588207706,0.014979206330967913,256.42055738876167,1.6338203724615987,469.0908236750722
0.0,0.5,0.5,0.0,0.167,0.167,0.167,0.25,0.25,12.76216666666667,2.6230896666810333,129.9186666666667,49.080983333333336,0.32351328196018914,0.014568127549207673,257.1249982037515,1.6406527741103185,471.25860820095323
0.0,0.55,0.45,0.0,0.183,0.183,0.183,0.225,0.225,12.624283333333336,2.6136087592680695,133.20563333333334,50.392981666666664,0.3216685035075486,0.014016125913767555,255.87782039582976,1.6404823758054525,468.9510369638723
0.0,0.6,0.4,0.0,0.2,0.2,0.2,0.2,0.2,12.486400000000003,2.6040585639654656,136.4926,51.70498,0.3199173464528948,0.013314113638775764,252.38126667292747,1.6322830666117452,461.50644484333276
0.0,0.65,0.35,0.0,0.217,0.217,0.217,0.175,0.175,12.348516666666669,2.5944378008090316,139.77956666666668,53.016978333333334,0.3182528603179857,0.012452397455355566,246.2751930663038,1.6147158154454713,448.1452502182133
0.0,0.7,0.3,0.0,0.233,0.233,0.233,0.15,0.15,12.210633333333334,2.584745151578107,143.06653333333333,54.32897666666666,0.3166687660170051,0.011420633029856209,237.1128957617405,1.5859702141247485,427.9297233641995
0.0,0.75,0.25,0.0,0.25,0.25,0.25,0.125,0.125,12.072750000000001,2.5749792582054924,146.3535,55.640975,0.31515937670035443,0.010207775468694426,224.32128448071856,1.5434846030668727,399.70034845862693
0.0,0.8,0.2,0.0,0.267,0.267,0.267,0.1,0.1,11.934866666666668,2.565138721102303,149.6404666666667,56.952973333333325,0.3137195295393418,0.008802025528713937,207.1298492302124,1.4834079559430076,361.9676293137067
0.0,0.85,0.15,0.0,0.283,0.283,0.283,0.075,0.075,11.796983333333335,2.5552220973921456,152.9274333333333,58.26497166666666,0.3123445267272218,0.007190771110224537,184.42946788609254,1.3994370867804073,312.70936022208025
0.0,0.9,0.1,0.0,0.3,0.3,0.3,0.05,0.05,11.6591,2.5452278990486072,156.2144,59.57697,0.31103008427585355,0.005360523563034647,154.4434875467089,1.2798306892919655,248.9338860917564
0.0,0.95,0.05,0.0,0.317,0.317,0.317,0.025,0.025,11.521216666666666,2.535154590929528,159.50136666666666,60.88896833333333,0.30977228743214336,0.0032968482831522657,113.731032101994,1.097161674923834,165.5047942667878
0.0,1.0,0.0,0.0,0.333,0.333,0.333,0.0,0.0,11.383333333333335,2.525000588701038,162.78833333333338,62.20096666666667,0.3085675517368702,0.0009842890186049333,51.714293714052616,0.7388168742957829,50.22363105526591
0.05,0.0,0.95,0.05,0.0,0.0,0.0,0.475,0.475,14.063950000000002,2.709406097553687,109.13855,40.68895,0.3411325433563659,0.013333725764074556,211.84206632895925,1.4942220601654577,371.54551383321336
0.05,0.05,0.9,0.05,0.017,0.017,0.017,0.45,0.45,13.926066666666669,2.700522640047233,112.42551666666667,42.000948333333326,0.3383687884190236,0.013808039132016572,221.97123931271625,1.5387563504545487,394.9320829784531
0.05,0.1,0.85,0.05,0.033,0.033,0.033,0.425,0.425,13.788183333333338,2.691580349988975,115.71248333333334,43.31294666666666,0.33577246803188343,0.014198751126850349,231.38853255120074,1.5796116109692402,416.81973894887085
0.05,0.15,0.8,0.05,0.05,0.05,0.05,0.4,0.4,13.650300000000003,2.6825782435171353,118.99945,44.624945,0.33332881418677385,0.014500478980112934,239.99556460807298,1.6165760401947984,436.9466528991097
0.05,0.2,0.75,0.05,0.067,0.067,0.067,0.375,0.375,13.512416666666669,2.67351531017768,122.28641666666667,45.936943333333325,0.3310247460232263,0.014707502727368657,247.68098775658842,1.6493920528892505,455.0242439325763
0.05,0.25,0.7,0.05,0.083,0.083,0.083,0.35,0.35,13.374533333333334,2.6643905119259195,125.57338333333334,47.248941666666674,0.32884863558672306,0.014813741708156304,254.318818339509,1.677750648482438,470.7332706555127
0.05,0.3,0.65,0.05,0.1,0.1,0.1,0.325,0.325,13.236650000000003,2.6552027820798956,128.86035,48.56094,0.3267901115587961,0.014812729210764767,259.76620124261814,1.7012825066555803,483.7189565723416
0.05,0.35,0.6,0.05,0.117,0.117,0.117,0.3,0.3,13.09876666666667,2.645951024222708,132.14731666666665,49.87293833333333,0.3248398939665442,0.014697585096366856,263.8604472682603,1.7195448900527879,493.58483872696627
0.05,0.4,0.55,0.05,0.133,0.133,0.133,0.275,0.275,12.960883333333337,2.6366341110507374,135.43428333333335,51.184936666666665,0.32298965431301063,0.014460986220483363,266.41508914101166,1.7320027713777313,499.8848817771321
0.05,0.45,0.5,0.05,0.15,0.15,0.15,0.25,0.25,12.823000000000004,2.6272508831644656,138.72125,52.496935,0.3212318966812062,0.014095134451348306,267.2145561167674,1.7380015487922365,502.11316657577413
0.05,0.5,0.45,0.05,0.167,0.167,0.167,0.225,0.225,12.68511666666667,2.617800147798409,142.0082166666667,53.808933333333336,0.31955985623205074,0.013591722064272015,266.00682489859093,1.7367269110169308,499.6900781849928
0.05,0.55,0.4,0.05,0.183,0.183,0.183,0.2,0.2,12.547233333333333,2.60828067748638,145.2951833333333,55.120931666666664,0.31796741219813063,0.012941894268296651,262.49297961919154,1.7271441353960997,491.94325671255234
0.05,0.6,0.35,0.05,0.2,0.2,0.2,0.175,0.175,12.409350000000002,2.5986912086580496,148.58215,56.43293,0.3164490130142099,0.012136208596013588,256.3118247014164,1.7079027645960452,478.0803757398516
0.05,0.65,0.3,0.05,0.217,0.217,0.217,0.15,0.15,12.271466666666669,2.5890304401624533,151.86911666666668,57.744928333333334,0.31499961165420687,0.011164590859031133,247.01613041713324,1.677179475980543,457.14850579083395
0.05,0.7,0.25,0.05,0.233,0.233,0.233,0.125,0.125,12.133583333333334,2.5792970317137915,155.1560833333333,59.05692666666666,0.31361460958742726,0.010016287339864599,234.0337333873357,1.6324023660364133,427.9700367360701
0.05,0.75,0.2,0.05,0.25,0.25,0.25,0.1,0.1,11.995700000000001,2.5694896022544773,158.44305,60.368925,0.31228980804279693,0.008679812855534335,216.59874049676174,1.5697256952068248,389.0342410086461
0.05,0.8,0.15,0.05,0.267,0.267,0.267,0.075,0.075,11.857816666666666,2.5596067282300408,161.7300166666667,61.680923333333325,0.31102136549296167,0.007142894288404985,193.61643439326096,1.4829098856260765,338.2955038304798
0.05,0.85,0.1,0.05,0.283,0.283,0.283,0.05,0.05,11.719933333333335,2.5496469417700482,165.01698333333331,62.99292166666667,0.30980576045144526,0.005392409135214755,163.35442877535496,1.3605044311975432,272.7434294570392
0.05,0.9,0.05,0.05,0.3,0.3,0.3,0.025,0.025,11.58205,2.5396087287687426,168.30395,64.30492,0.3086397588240526,0.003414318575174361,122.53806738611071,1.1765395659079783,187.2683665140757
0.05,0.95,0.0,0.05,0.317,0.317,0.317,0.0,0.0,11.444166666666668,2.5294905268586247,171.59091666666666,65.61691833333333,0.30752038517708513,0.0011935945017163112,61.84608128850905,0.8342796865841531,70.11630619985182
0.1,0.0,0.9,0.1,0.0,0.0,0.0,0.45,0.45,13.986900000000004,2.7044491654044407,121.2281,45.4169,0.3346144276689955,0.013044620526641976,228.49930573658327,1.630557591832495,417.6372302311856
0.1,0.05,0.85,0.1,0.017,0.017,0.017,0.425,0.425,13.849016666666667,2.6955329516712694,124.51506666666667,46.72889833333333,0.3323133126150095,0.013461571805312347,238.43176155362255,1.6728509587484046,440.7643885469985
0.1,0.1,0.8,0.1,0.033,0.033,0.033,0.4,0.4,13.711133333333336,2.6865573588192735,127.80203333333333,48.04089666666666,0.33013788460373594,0.013791611724103685,247.4985342846993,1.7109160837387514,461.98887054448375
0.1,0.15,0.75,0.1,0.05,0.05,0.05,0.375,0.375,13.573250000000002,2.6775213882470874,131.089,49.352895,0.3280781198347129,0.01402915790062272,255.58969296450869,1.7445174571572646,481.0213622936272
0.1,0.2,0.7,0.1,0.067,0.067,0.067,0.35,0.35,13.435366666666667,2.66842401420896,134.37596666666667,50.66489333333334,0.3261250327972005,0.014168277122984553,262.5801409423087,1.7733624774596657,497.5407723062251
0.1,0.25,0.65,0.1,0.083,0.083,0.083,0.325,0.325,13.297483333333336,2.6592641827897494,137.6629333333333,51.97689166666667,0.32427054522787113,0.014202660787470267,268.3274621390017,1.7970934243186978,511.1893862177382
0.1,0.3,0.6,0.1,0.1,0.1,0.1,0.3,0.3,13.159600000000001,2.6500408108301445,140.9499,53.28889,0.3225073744264517,0.01412559838716215,272.66902195514257,1.8152749416877998,521.566702457732
0.1,0.35,0.55,0.1,0.117,0.117,0.117,0.275,0.275,13.021716666666668,2.6407527847991474,144.23686666666669,54.60088833333333,0.32082893767326714,0.01392994887676619,275.41807751736565,1.8273755247320862,528.2214922704902
0.1,0.4,0.5,0.1,0.133,0.133,0.133,0.25,0.25,12.883833333333333,2.6313989596106384,147.5238333333333,55.912886666666665,0.3192292701038626,0.013608109721241619,276.35850701240605,1.8327404327229795,530.6413909915776
0.1,0.45,0.45,0.1,0.15,0.15,0.15,0.225,0.225,12.745950000000002,2.6219781573806222,150.8108,57.224885,0.3177029538809908,0.013151983416297704,275.237529795593,1.830551650300608,528.238940486809
0.1,0.5,0.4,0.1,0.167,0.167,0.167,0.2,0.2,12.60806666666667,2.612489166121498,154.0977666666667,58.53688333333334,0.3162450568914812,0.01255294124704312,271.755374577024,1.819767280626399,520.3323393063207
0.1,0.55,0.35,0.1,0.183,0.183,0.183,0.175,0.175,12.470183333333333,2.602930738369456,157.38473333333332,59.848881666666664,0.3148510795063866,0.011801784026805838,265.5500886364257,1.7990265403115742,506.117960148295
0.1,0.6,0.3,0.1,0.2,0.2,0.2,0.15,0.15,12.3323,2.593301589740766,160.6717,61.16088,0.31351690819360356,0.010888699531067886,256.1741761648188,1.7664937477902813,484.6294004213716
0.1,0.65,0.25,0.1,0.217,0.217,0.217,0.125,0.125,12.194416666666669,2.58360039741246,163.9586666666667,62.47287833333334,0.3122387749756046,0.009803216311217281,243.05654958307906,1.7195861521469973,454.67310196110014
0.1,0.7,0.2,0.1,0.233,0.233,0.233,0.1,0.1,12.056533333333334,2.5738257985225337,167.2456333333333,63.78487666666666,0.31101322189068537,0.00853415353900201,225.43574741595404,1.6544596879590117,414.7198819813214
0.1,0.75,0.15,0.1,0.25,0.25,0.25,0.075,0.075,11.918650000000001,2.5639763884844315,170.5326,65.096875,0.30983706975181224,0.007069566494708678,202.23021525860415,1.5649254222808402,362.7044348865443
0.1,0.8,0.1,0.1,0.267,0.267,0.267,0.05,0.05,11.780766666666667,2.5540507192101805,173.81956666666667,66.40887333333333,0.3087073906087452,0.005396687269645909,171.74666728499474,1.4397737672083237,295.602574471091
0.1,0.85,0.05,0.1,0.283,0.283,0.283,0.025,0.025,11.642883333333334,2.544047297236078,177.10653333333332,67.72087166666667,0.3076214834112072,0.003501860205877143,130.8507482561768,1.2542190920139935,208.33580063650138
0.1,0.9,0.0,0.1,0.3,0.3,0.3,0.0,0.0,11.505,2.533964581744378,180.3935,69.03287,0.3065768524472472,0.0013704715426148173,71.14667806708886,0.9226890953381427,89.5610938316179
0.15,0.0,0.85,0.15,0.0,0.0,0.0,0.425,0.425,13.909850000000002,2.699473995409524,133.31765,50.14485,0.32932544418818677,0.012717590430464226,244.15112274094898,1.7612802477468,461.32166526596194
0.15,0.05,0.8,0.15,0.017,0.017,0.017,0.4,0.4,13.77196666666667,2.690524721810029,136.60461666666666,51.456848333333326,0.3273706133511418,0.013075164217000067,253.7267650230023,1.8007946103331807,483.7753158919545
0.15,0.1,0.75,0.15,0.033,0.033,0.033,0.375,0.375,13.634083333333335,2.6815155143546634,139.8915833333333,52.76884666666666,0.3255129889137871,0.013342399006860772,262.27119665346186,1.835496374103481,503.89139556128265
0.15,0.15,0.7,0.15,0.05,0.05,0.05,0.35,0.35,13.4962,2.672445359397132,143.17855,54.080845,0.3237454962103494,0.013513504913410643,269.66076029775274,1.8651149529730844,521.348283782133
0.15,0.2,0.65,0.15,0.067,0.067,0.067,0.325,0.325,13.358316666666669,2.6633132155799393,146.46551666666667,55.39284333333333,0.32206173083851475,0.013582326979640109,275.75394920777836,1.8893086841512845,535.7865192692591
0.15,0.25,0.6,0.15,0.083,0.083,0.083,0.3,0.3,13.220433333333334,2.65411801278193,149.75248333333332,56.704841666666674,0.32045588111891066,0.013542319500357022,280.3885955347301,1.9076531805849577,546.802671741327
0.15,0.3,0.55,0.15,0.1,0.1,0.1,0.275,0.275,13.082550000000003,2.6448586510144168,153.03945,58.01684,0.3189226610756464,0.013386518296262268,283.3780519908111,1.9196233788123203,553.9413896272938
0.15,0.35,0.5,0.15,0.117,0.117,0.117,0.25,0.25,12.94466666666667,2.635533999262819,156.3264166666667,59.32883833333333,0.31745725230925537,0.013107510755221643,284.5059879915349,1.9245667859426234,556.6849324783142
0.15,0.4,0.45,0.15,0.133,0.133,0.133,0.225,0.225,12.806783333333335,2.626142894270516,159.6133833333333,60.640836666666665,0.3160552534153138,0.012697403437354373,283.5191863653583,1.9216636192840415,554.4391066206518
0.15,0.45,0.4,0.15,0.15,0.15,0.15,0.2,0.2,12.6689,2.6166841392613707,162.90035,61.952835,0.31471263583014397,0.012147787019761283,280.11732134246034,1.909866317892926,546.5138576144133
0.15,0.5,0.35,0.15,0.167,0.167,0.167,0.175,0.175,12.531016666666668,2.6071565025971295,166.18731666666667,63.264833333333335,0.31342570517059243,0.011449698333548763,273.93795584736375,1.88780479073614,532.0955786027542
0.15,0.55,0.3,0.15,0.183,0.183,0.183,0.15,0.15,12.393133333333333,2.597558716365619,169.47428333333332,64.57683166666666,0.31219106728654133,0.010593579219970761,264.53354345488856,1.853631283323003,510.205914724091
0.15,0.6,0.25,0.15,0.2,0.2,0.2,0.125,0.125,12.255250000000002,2.587889474895369,172.76125,65.88883,0.31100559836925323,0.009569231903669652,251.33415037952645,1.8047510834116163,479.63716896109526
0.15,0.65,0.2,0.15,0.217,0.217,0.217,0.1,0.1,12.117366666666669,2.57814743319194,176.0482166666667,67.20082833333333,0.3098664185612594,0.008365770548762478,233.5824660317282,1.7373173994581468,438.8439143286947
0.15,0.7,0.15,0.15,0.233,0.233,0.233,0.075,0.075,11.979483333333334,2.5683312052909013,179.3351833333333,68.51282666666667,0.30877086859842495,0.006971568627447011,210.20878208302508,1.6451781970195105,385.7438661038729
0.15,0.75,0.1,0.15,0.25,0.25,0.25,0.05,0.05,11.8416,2.558439362521986,182.62215,69.824825,0.30771648908536475,0.005374201690390408,179.55403246831347,1.5173172077601453,317.3020132612829
0.15,0.8,0.05,0.15,0.267,0.267,0.267,0.025,0.025,11.703716666666667,2.548470431678553,185.90911666666668,71.13682333333333,0.3067010020642382,0.003560385082830591,138.6021078074683,1.3299013825325838,228.4708231783452
0.15,0.85,0.0,0.15,0.283,0.283,0.283,0.0,0.0,11.565833333333334,2.5384228930860036,189.19608333333332,72.44882166666666,0.3057222945862037,0.001515906099406043,79.65985472096648,1.00548555240222,108.26656684047985
0.2,0.0,0.8,0.2,0.0,0.0,0.0,0.4,0.4,13.832800000000004,2.694480418882932,145.4072,54.8728,0.3249478794594043,0.012351418293935056,258.614880052591,1.8857273504632615,502.1198836515784
0.2,0.05,0.75,0.2,0.017,0.017,0.017,0.375,0.375,13.69491666666667,2.6854977772488504,148.6941666666667,56.18479833333333,0.3232597702361901,0.012647530110986367,267.66400837540806,1.9218844929066277,523.4559863376018
0.2,0.1,0.7,0.2,0.033,0.033,0.033,0.35,0.35,13.557033333333333,2.6764546386829613,151.9811333333333,57.49679666666667,0.3216487017044831,0.012849753088100276,275.50227238721845,1.9525967766212282,541.9836527465227
0.2,0.15,0.65,0.2,0.05,0.05,0.05,0.325,0.325,13.419150000000002,2.6673499741805906,155.2681,58.808795,0.32010951763252415,0.012952081597309371,281.98965704643985,1.9775443145163685,557.3430444418549
0.2,0.2,0.6,0.2,0.067,0.067,0.067,0.3,0.3,13.281266666666667,2.6581827264439073,158.55506666666665,60.12079333333334,0.3186375118802489,0.012948130061924544,286.9649551256554,1.996318200760759,569.1290372529185
0.2,0.25,0.55,0.2,0.083,0.083,0.083,0.275,0.275,13.143383333333336,2.6489518088010984,161.84203333333335,61.432791666666674,0.3172283803370486,0.012831106107136406,290.24204370384285,2.008403403277077,576.8833071211245
0.2,0.3,0.5,0.2,0.1,0.1,0.1,0.25,0.25,13.005500000000001,2.6396561040724436,165.129,62.74479,0.3158781788894345,0.012593781557842153,291.6047630488526,2.0131525335779896,580.083846357163
0.2,0.35,0.45,0.2,0.117,0.117,0.117,0.225,0.225,12.867616666666668,2.6302944633800838,168.41596666666666,64.05678833333333,0.31458328655409495,0.012228461088496024,290.79979933288496,2.0097462766744605,578.1308314489131
0.2,0.4,0.4,0.2,0.133,0.133,0.133,0.2,0.2,12.729733333333337,2.620865704898057,171.70293333333333,65.36878666666667,0.3133403730506241,0.011726948309913462,287.5265744039705,1.9971330551172994,570.3270962883192
0.2,0.45,0.35,0.2,0.15,0.15,0.15,0.175,0.175,12.59185,2.611368612538912,174.9899,66.680785,0.3121463702024503,0.011080509055837517,281.4224216834991,1.9739344573222306,555.8502722429079
0.2,0.5,0.3,0.2,0.167,0.167,0.167,0.15,0.15,12.453966666666668,2.6018019345729626,178.27686666666665,67.99278333333334,0.3109984466488722,0.010279831607420077,272.03991982329387,1.9382907121092132,533.7113915767559
0.2,0.55,0.25,0.2,0.183,0.183,0.183,0.125,0.125,12.316083333333335,2.5921643821759295,181.56383333333335,69.30478166666666,0.3098939854294327,0.009314983566259124,258.81030172130284,1.8875935511767368,502.69012713287816
0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.1,0.1,12.178200000000002,2.5824546279004137,184.8508,70.61678,0.30883056406706744,0.008175365055899206,240.9800375337535,1.817988275453211,461.22651816495596
0.2,0.65,0.15,0.2,0.217,0.217,0.217,0.075,0.075,12.04031666666667,2.5726713040662976,188.13776666666666,71.92877833333334,0.3078059368309858,0.006849657897329705,217.48987030016247,1.7233451062733385,407.22313993036994
0.2,0.7,0.1,0.2,0.233,0.233,0.233,0.05,0.05,11.902433333333335,2.5628130010647854,191.42473333333334,73.24077666666666,0.30681801890595306,0.005325770365526396,186.7102731761828,1.5927947741195954,337.6354769217317
0.2,0.75,0.05,0.2,0.25,0.25,0.25,0.025,0.025,11.76455,2.552878265570401,194.7117,74.552775,0.3058648722331261,0.0035907770909312364,145.72416731682827,1.4032546968437978,247.44337929581314
0.2,0.8,0.0,0.2,0.267,0.267,0.267,0.0,0.0,11.626666666666665,2.542865598654797,197.99866666666665,75.86477333333333,0.30494469282010206,0.0016308536213281617,87.38099620187225,1.0832963664394308,125.9654507856408
0.25,0.0,0.75,0.25,0.0,0.0,0.0,0.375,0.375,13.75575,2.6894682646283723,157.49675,59.60075,0.3212648330767649,0.011944846518837463,271.703139313782,2.0031845024758304,539.5296320137732
0.25,0.05,0.7,0.25,0.017,0.017,0.017,0.35,0.35,13.61786666666667,2.6804519421693946,160.78371666666666,60.91274833333333,0.3197870812429,0.01217734018860852,280.04317972073096,2.0353502834795423,559.2687021124827
0.25,0.1,0.65,0.25,0.033,0.033,0.033,0.325,0.325,13.479983333333335,2.6713745511904397,164.07068333333333,62.22474666666667,0.31837164570751697,0.012312268214533647,286.9758211292171,2.0613752825148506,575.6865444146674
0.25,0.15,0.6,0.25,0.05,0.05,0.05,0.3,0.3,13.342100000000004,2.662235047006654,167.35765,63.536745,0.31701466608023443,0.012343400626421929,292.34141163883197,2.0808718211224053,588.3777483263018
0.25,0.2,0.55,0.25,0.067,0.067,0.067,0.275,0.275,13.20421666666667,2.653032356042419,170.64461666666665,64.84874333333333,0.31571259437923826,0.012264111957789871,295.95485285115444,2.093339381908881,596.882283557158
0.25,0.25,0.5,0.25,0.083,0.083,0.083,0.25,0.25,13.066333333333334,2.64376537472124,173.93158333333335,66.16074166666667,0.31446216405524474,0.01206735316562157,297.6005830758581,2.0981391688510524,600.6750509185551
0.25,0.3,0.45,0.25,0.1,0.1,0.1,0.225,0.225,12.928450000000003,2.634432968300759,177.21855,67.47274,0.3132603626294115,0.011745621286785886,297.025558667635,2.094454986480227,599.1517241318513
0.25,0.35,0.4,0.25,0.117,0.117,0.117,0.2,0.2,12.790566666666667,2.625033969649584,180.50551666666667,68.78473833333332,0.3121044074626729,0.01129092662473752,293.9292587969324,2.081233112646411,591.6091400620387
0.25,0.4,0.35,0.25,0.133,0.133,0.133,0.175,0.175,12.652683333333336,2.61556717796236,183.79248333333334,70.09673666666667,0.31099172424622146,0.010694757239001918,287.94902991226417,2.0570878329489655,577.2173026776318
0.25,0.45,0.3,0.25,0.15,0.15,0.15,0.15,0.15,12.5148,2.6060313574092406,187.07945,71.408735,0.3099199278631668,0.009948040486407884,278.63771688122876,2.0201472264645535,554.9778121456008
0.25,0.5,0.25,0.25,0.167,0.167,0.167,0.125,0.125,12.37691666666667,2.59642523571567,190.36641666666665,72.72073333333334,0.3088868053219116,0.009041101336780813,265.4276719483522,1.9677874094844725,523.6589502429485
0.25,0.55,0.2,0.25,0.183,0.183,0.183,0.1,0.1,12.239033333333335,2.586747502668046,193.65338333333335,74.03273166666666,0.3078903005042435,0.007963617156501887,247.56868952159587,1.8961397837193357,481.68748233148915
0.25,0.6,0.15,0.25,0.2,0.2,0.2,0.075,0.075,12.10115,2.5769968085405166,196.94035,75.34473,0.30692850050693665,0.006704568620575726,224.01048303853221,1.7990811067430648,426.9519074775283
0.25,0.65,0.1,0.25,0.217,0.217,0.217,0.05,0.05,11.96326666666667,2.567171762437799,200.22731666666667,76.65672833333335,0.30599962338596165,0.00525218637718336,193.1485015351125,1.6658430519970329,356.39811094310977
0.25,0.7,0.05,0.25,0.233,0.233,0.233,0.025,0.025,11.825383333333333,2.557270930548517,203.51428333333334,77.96872666666665,0.3051020071380759,0.00359389304761351,152.14753635347054,1.4739114668995568,265.0270427810315
0.25,0.75,0.0,0.25,0.25,0.25,0.25,0.0,0.0,11.6875,2.547292834303114,206.80125,79.280725,0.304234099776459,0.001716240098372833,94.27850934812686,1.1563126338863132,142.4015801336336
0.3,0.0,0.7,0.3,0.0,0.0,0.0,0.35,0.35,13.678700000000003,2.684437358887619,169.5863,64.3287,0.31812317052886185,0.01149657557972428,283.2176874465373,2.1128607974691387,573.0166124353472
0.3,0.05,0.65,0.3,0.017,0.017,0.017,0.325,0.325,13.54081666666667,2.6753870380955247,172.87326666666667,65.64069833333333,0.31681465200743464,0.011663220485395158,290.6498983019367,2.1403265013177344,590.6372015796345
0.3,0.1,0.6,0.3,0.033,0.033,0.033,0.3,0.3,13.402933333333333,2.666275068505102,176.16023333333334,66.95269666666667,0.31555741668159865,0.011728491021124644,296.45792489205036,2.160871359362609,604.3743777448782
0.3,0.15,0.55,0.3,0.05,0.05,0.05,0.275,0.275,13.265050000000006,2.657100389420884,179.4472,68.264695,0.3143485076729633,0.011685923891849586,300.4582874517627,2.1740150635971456,613.7678368684547
