MnFeCoNiAl
strain_r: 0.001
temperature: 300
element: Mn-Fe, Co-Ni, Al
ratio:50.0:50.0,50.0:50.0,100
structure: fcc
data:
Mn,Fe,Co,Ni,Al
12.60,12.09,11.12,10.94,16.472
338.84,26.375,262.89,199.1,65.498
130.52,8.9429,101.66,76.0,23.922
Start of Predicted Data
psA,psB,psC,Mn,Fe,Co,Ni,Al,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,tau_y0,Delta_Eb,Delta_sigma_ss
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.472000000000005,2.855970894246236,65.498,23.921999999999997,0.36899088704957816,0.0,0.0,0.0,nan
0.0,0.1,0.9,0.0,0.0,0.05,0.05,0.9,15.927800000000003,2.824166283489304,82.0477,30.412799999999997,0.3489007917718856,0.0052547246239549525,87.13715042762233,0.9383160828925781,111.43773282858876
0.0,0.2,0.8,0.0,0.0,0.1,0.1,0.8,15.383600000000003,2.791628728229658,98.5974,36.9036,0.33587780053978467,0.010014737183683993,156.26315996959758,1.3368544748770592,258.3486964750637
0.0,0.3,0.7,0.0,0.0,0.15,0.15,0.7,14.839400000000003,2.758314483085613,115.1471,43.3944,0.32675068672455443,0.014126785372401071,224.87972690575347,1.6775359070200295,416.21956723207705
0.0,0.4,0.6,0.0,0.0,0.2,0.2,0.6,14.295200000000001,2.7241754693877294,131.6968,49.8852,0.3199987170543568,0.017398658941925882,291.11893491361985,1.9714002546622595,574.7317004411491
0.0,0.5,0.5,0.0,0.0,0.25,0.25,0.5,13.751000000000001,2.6891586620989605,148.2465,56.376,0.31480151128139644,0.01958826738807822,350.60641267138516,2.2123550483703767,720.3414698808267
0.0,0.6,0.4,0.0,0.0,0.3,0.3,0.4,13.206800000000001,2.6532053618879625,164.7962,62.8668,0.3106774959119918,0.020389190024166046,396.69406352324575,2.386709797572436,834.7005267431999
0.0,0.7,0.3,0.0,0.0,0.35,0.35,0.3,12.662600000000001,2.61625032513364,181.3459,69.3576,0.30732536881322314,0.019411377645542478,419.3796517965928,2.4713660746474173,891.6417333262943
0.0,0.8,0.2,0.0,0.0,0.4,0.4,0.2,12.118400000000003,2.578220716714931,197.8956,75.8484,0.3045469647349186,0.01615511305092272,402.48109931634525,2.4230073271889654,850.729039832675
0.0,0.9,0.1,0.0,0.0,0.45,0.45,0.1,11.574200000000001,2.5390348397413693,214.4453,82.3392,0.30220660390190823,0.00997548055560701,314.65629792293055,2.131945042988521,638.5741101440188
0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,11.030000000000001,2.4986005817562784,230.995,88.83,0.30020826297422043,3.328924905207791e-05,7.536291002432087,0.3265860726198454,-4.067034655449181
0.1,0.0,0.9,0.05,0.05,0.0,0.0,0.9,16.059300000000004,2.8319171027240944,77.20895,28.502944999999997,0.35440302747663455,0.002984465773066321,56.9533438482792,0.7404480249925898,55.486444698921666
