MnFeCoNiAlCu
strain_r: 0.001
temperature: 300
element: Mn-Co, Fe-Ni, Al-Cu
ratio:50.0:50.0,50.0:50.0,50.0:50.0
structure: fcc
data:
Mn,Fe,Co,Ni,Al,Cu
12.60,12.09,11.12,10.94,16.472, 11.810
338.84,26.375,262.89,199.1,65.498, 128.6
130.52,8.9429,101.66,76.0,23.922, 48.0
Start of Predicted Data
psA,psB,psC,Mn,Co,Fe,Ni,Al,Cu,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,tau_y0,Delta_Eb,Delta_sigma_ss
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,14.141000000000004,2.7143449580833208,97.049,35.961,0.3493645894163122,0.01358608435721727,194.36585156070223,1.3529117598548743,323.51128128834216
0.0,0.05,0.95,0.0,0.0,0.025,0.025,0.475,0.475,14.009700000000002,2.705917872231923,97.833425,36.2865225,0.34806834961933864,0.014026394217281314,199.55334963118648,1.3642517145429942,333.69096574484945
0.0,0.1,0.9,0.0,0.0,0.05,0.05,0.45,0.45,13.878400000000003,2.6974379676441114,98.61785,36.612045,0.3467951598988803,0.014391507779564135,204.03323044775203,1.3726674452410559,342.3407145865789
0.0,0.15,0.85,0.0,0.0,0.075,0.075,0.425,0.425,13.747100000000003,2.688904408822048,99.402275,36.9375675,0.3455444108494692,0.014676854218533911,207.77052458676533,1.378163338398247,349.37535594725466
0.0,0.2,0.8,0.0,0.0,0.1,0.1,0.4,0.4,13.615800000000002,2.680316338919335,100.1867,37.26309,0.3443155143601886,0.01487759230044766,210.72313630595505,1.3807091208624132,354.69746651040066
0.0,0.25,0.75,0.0,0.0,0.125,0.125,0.375,0.375,13.484500000000002,2.67167287898369,100.971125,37.5886125,0.34310790269260405,0.014988592592540973,212.841284605324,1.380239390823569,358.19633678600695
0.0,0.3,0.7,0.0,0.0,0.15,0.15,0.35,0.35,13.353200000000001,2.6629731271651007,101.75555,37.914135,0.3419210276061948,0.015004418347016617,214.0666621756699,1.3766512559968176,359.74655640894963
0.0,0.35,0.65,0.0,0.0,0.175,0.175,0.325,0.325,13.221900000000002,2.654216157887515,102.539975,38.2396575,0.34075435952845545,0.014919304948365426,214.33125455727213,1.3697998202618142,359.20614122139017
0.0,0.4,0.6,0.0,0.0,0.2,0.2,0.3,0.3,13.090600000000002,2.6454010209820265,103.3244,38.56518,0.3396073867670266,0.014727137802039365,213.55572350235087,1.3594909739261851,356.41407991519543
0.0,0.45,0.55,0.0,0.0,0.225,0.225,0.275,0.275,12.959300000000004,2.6365267407793342,104.108825,38.8907025,0.33847961476139443,0.014421428530882942,211.64720223011656,1.3454705319007265,351.18711443292665
0.0,0.5,0.5,0.0,0.0,0.25,0.25,0.25,0.25,12.828000000000003,2.6275923151591556,104.89325,39.216225,0.33737056537185817,0.01399528933288172,208.49626147206945,1.327408110645169,343.3154708708731
0.0,0.55,0.45,0.0,0.0,0.275,0.275,0.225,0.225,12.696700000000002,2.6185967145540747,105.67767500000002,39.5417475,0.33627977620361893,0.013441405339566271,203.97265710049533,1.3048730177793637,332.55710083848544
0.0,0.6,0.4,0.0,0.0,0.3,0.3,0.2,0.2,12.565400000000002,2.6095388809051387,106.4621,39.86727,0.3352067999639805,0.01275200479865182,197.91920975554615,1.277297399142217,318.62972908127057
0.0,0.65,0.35,0.0,0.0,0.325,0.325,0.175,0.175,12.4341,2.6004177265663553,107.246525,40.1927925,0.3341512038507899,0.011918826887012804,190.1426826942936,1.24391796942933,301.19953578823146
0.0,0.7,0.3,0.0,0.0,0.35,0.35,0.15,0.15,12.3028,2.5912321331550063,108.03095,40.518315,0.33311256897035335,0.010933086940684218,180.3995633297972,1.2036795440494985,279.8644274887682
0.0,0.75,0.25,0.0,0.0,0.375,0.375,0.125,0.125,12.171500000000002,2.5819809503444895,108.815375,40.8438375,0.33209048978318956,0.009785438867007449,168.37259118930785,1.155065354982661,254.12810185140344
0.0,0.8,0.2,0.0,0.0,0.4,0.4,0.1,0.1,12.040200000000002,2.5726629945961723,109.5998,41.16936,0.331084573576077,0.008465934480034023,153.62898188821978,1.0957735721830844,223.35731911153587
0.0,0.85,0.15,0.0,0.0,0.425,0.425,0.075,0.075,11.908900000000003,2.5632770478264666,110.384225,41.4948825,0.3300944399589516,0.006963979473561818,135.53805161339298,1.0220285409261927,186.70568015040192
0.0,0.9,0.1,0.0,0.0,0.45,0.45,0.05,0.05,11.777600000000001,2.5538218560050616,111.16865,41.820405,0.3291197203853,0.0052682857163606125,113.08275971538338,0.9268567212996883,142.96224069896832
0.0,0.95,0.05,0.0,0.0,0.475,0.475,0.025,0.025,11.6463,2.5442961276799583,111.953075,42.1459275,0.3281600576947796,0.0033668195208541754,84.31111198082907,0.7944593421103108,90.20295093786056
0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,11.515,2.5346985324245943,112.7375,42.47145,0.3272151056768724,0.001246745499319443,43.689015308634154,0.5676257666144455,24.897936306324176
0.05,0.0,0.95,0.025,0.025,0.0,0.0,0.475,0.475,14.026950000000003,2.7070280063703813,107.2398,39.96745,0.3415892182263316,0.013815137052863835,213.35848679495442,1.4822959333908667,372.7123879487803
0.05,0.05,0.9,0.025,0.025,0.025,0.025,0.45,0.45,13.895650000000003,2.698555088251931,108.024225,40.2929725,0.3404846837745714,0.014187392483111811,218.21445042094734,1.4910724999555425,382.32069747658716
0.05,0.1,0.85,0.025,0.025,0.05,0.05,0.425,0.425,13.76435,2.6900286268679174,108.80865,40.618495,0.3393978531208506,0.014480410313983656,222.2663649268052,1.4966421822675604,390.14152182431485
0.05,0.15,0.8,0.025,0.025,0.075,0.075,0.4,0.4,13.633050000000004,2.681447768219174,109.593075,40.9440175,0.33832830400680636,0.014689382494665625,225.4703666314718,1.4989822039753238,396.0716992144924
0.05,0.2,0.75,0.025,0.025,0.1,0.1,0.375,0.375,13.501750000000001,2.672811636302077,110.3775,41.26954,0.33727562749669615,0.014809215023247807,227.77435205359035,1.4980309048542384,399.9933183914214
0.05,0.25,0.7,0.025,0.025,0.125,0.125,0.35,0.35,13.37045,2.664119332321342,111.161925,41.5950625,0.3362394274560834,0.0148345090013263,229.11710996146908,1.4936854925640581,401.77220136224554
0.05,0.3,0.65,0.025,0.025,0.15,0.15,0.325,0.325,13.239150000000002,2.655369933866621,111.94635,41.920585,0.33521932005481325,0.014759540266487011,229.4270895909062,1.4857974367812796,401.25586526800146
0.05,0.35,0.6,0.025,0.025,0.175,0.175,0.3,0.3,13.107850000000001,2.64656249405086,112.730775,42.2461075,0.3342149332929667,0.014578237482079181,228.62070519282418,1.4741649447836305,398.27082776499105
0.05,0.4,0.55,0.025,0.025,0.2,0.2,0.275,0.275,12.976550000000003,2.6376960406082546,113.5152,42.57163,0.333225906548563,0.014284158552217603,226.60001744243752,1.4585215160473255,392.6190473184775
0.05,0.45,0.5,0.025,0.025,0.225,0.225,0.25,0.25,12.84525,2.6287695749494455,114.299625,42.8971525,0.3322518901458553,0.013870465217272103,223.2495386694862,1.4385188772275375,384.07317810976946
0.05,0.5,0.45,0.025,0.025,0.25,0.25,0.225,0.225,12.71395,2.6197820711715054,115.08405,43.222675,0.33129254494313454,0.013329895671063527,218.43175324425889,1.413701414197985,372.37013924330626
0.05,0.55,0.4,0.025,0.025,0.275,0.275,0.2,0.2,12.582650000000003,2.610732475020038,115.868475,43.5481975,0.3303475419390205,0.012654735025433574,211.98067144011424,1.383467071734353,357.20219357280695
0.05,0.6,0.35,0.025,0.025,0.3,0.3,0.175,0.175,12.45135,2.6016197028005545,116.6529,43.87372,0.32941656189627877,0.01183678343060552,203.69222841194568,1.3470055564031342,338.2041901896984
0.05,0.65,0.3,0.025,0.025,0.325,0.325,0.15,0.15,12.32005,2.5924426402360896,117.437325,44.1992425,0.3284992949822614,0.010867321640602334,193.3093367527329,1.3031961423477962,314.9346051719486
0.05,0.7,0.25,0.025,0.025,0.35,0.35,0.125,0.125,12.18875,2.583200141267792,118.22175,44.524765,0.3275954404251207,0.009737073791705268,180.49725298708464,1.2504282377630636,286.84595918512116
0.05,0.75,0.2,0.025,0.025,0.375,0.375,0.1,0.1,12.057450000000001,2.573891026794998,119.006175,44.8502875,0.3267047061849937,0.008436167138257174,164.79984012124208,1.1862602147844157,253.23567823176367
0.05,0.8,0.15,0.025,0.025,0.4,0.4,0.075,0.075,11.926150000000002,2.5645140833510447,119.7906,45.17581,0.3258268086394023,0.006954088463743067,145.55362602912703,1.106695751529453,213.1574301968875
0.05,0.85,0.1,0.025,0.025,0.425,0.425,0.05,0.05,11.79485,2.555068061710789,120.575025,45.5013325,0.3249614722821579,0.005279636855675569,121.69224928045432,1.0043831673801014,165.24182056717896
0.05,0.9,0.05,0.025,0.025,0.45,0.45,0.025,0.025,11.66355,2.545551675425517,121.35945,45.826855,0.32410842943509865,0.0034008724999905647,91.18264040340024,0.8628004263885813,107.26817932791162
0.05,0.95,0.0,0.025,0.025,0.475,0.475,0.0,0.0,11.532250000000001,2.5359635992805876,122.143875,46.1523775,0.32326741997202646,0.0013050611139779269,48.37175828642892,0.6235488915398452,34.880547102659605
0.1,0.0,0.9,0.05,0.05,0.0,0.0,0.45,0.45,13.912900000000002,2.699671284716093,117.4306,43.9739,0.33523067092070513,0.013982707363092484,232.15218807009538,1.6086628530955476,421.7238753886187
0.1,0.05,0.85,0.05,0.05,0.025,0.025,0.425,0.425,13.7816,2.6911519060308966,118.215025,44.2994225,0.3342727549100668,0.014283336662066723,236.5295538644666,1.6143766453882156,430.3700900254843
0.1,0.1,0.8,0.05,0.05,0.05,0.05,0.4,0.4,13.650300000000003,2.6825782435171353,118.99945,44.624945,0.33332881418677385,0.014500478980112934,239.99556460807298,1.6165760401947984,436.9466528991097
0.1,0.15,0.75,0.05,0.05,0.075,0.075,0.375,0.375,13.519,2.67394942410626,119.783875,44.9504675,0.3323985451319278,0.014629075463325404,242.4959465249718,1.6152040802535823,441.32879836359007
0.1,0.2,0.7,0.05,0.05,0.1,0.1,0.35,0.35,13.3877,2.665264552043503,120.5683,45.27599,0.3314816528583915,0.014663764757929484,243.9667286784756,1.6101589030637249,443.3739089245803
0.1,0.25,0.65,0.05,0.05,0.125,0.125,0.325,0.325,13.256400000000001,2.6565227080693488,121.352725,45.6015125,0.33057785089913416,0.014598862826032153,244.3329651443207,1.6012890849413275,442.9193224746573
0.1,0.3,0.6,0.05,0.05,0.15,0.15,0.3,0.3,13.125100000000002,2.6477229485630374,122.13715,45.927035,0.3296868609088308,0.01442834123441611,243.506965565068,1.5883858390531722,439.77940689795673
0.1,0.35,0.55,0.05,0.05,0.175,0.175,0.275,0.275,12.993800000000002,2.6388643046459497,122.921575,46.2525575,0.32880841237806147,0.01414580378583174,241.3858679457974,1.5711710226371014,433.74167172471647
0.1,0.4,0.5,0.05,0.05,0.2,0.2,0.25,0.25,12.862500000000002,2.629945781242567,123.706,46.57808,0.3279422423594962,0.013744461349720988,237.8482893190694,1.5492791701581783,424.56156088617485
0.1,0.45,0.45,0.05,0.05,0.225,0.225,0.225,0.225,12.731200000000003,2.6209663560965426,124.490425,46.9036025,0.3270880952054802,0.013217104735450454,232.74962703988325,1.522230518585492,411.95536808191684
0.1,0.5,0.4,0.05,0.05,0.25,0.25,0.2,0.2,12.599900000000002,2.611924978739248,125.27485,47.229125,0.3262457223164732,0.012556075435780589,225.91529838085341,1.4893897321988612,395.5903731090651
0.1,0.55,0.35,0.05,0.05,0.275,0.275,0.175,0.175,12.468600000000002,2.6028205694079856,126.059275,47.5546475,0.3254148818998186,0.011753234051274207,217.13067805848436,1.4499006923044673,375.07068527865056
0.1,0.6,0.3,0.05,0.05,0.3,0.3,0.15,0.15,12.3373,2.5936520179108475,126.8437,47.88017,0.32459533873835444,0.010799926187451927,206.1254501183467,1.4025787751420156,349.9161220961901
0.1,0.65,0.25,0.05,0.05,0.325,0.325,0.125,0.125,12.206000000000003,2.5844181824349897,127.628125,48.2056925,0.3237868639683996,0.009686945595503678,192.54786260747798,1.3457220438218511,319.52910323263694
0.1,0.7,0.2,0.05,0.05,0.35,0.35,0.1,0.1,12.074700000000002,2.5751178882948684,128.41255,48.531215,0.32298923486667297,0.00840449430400796,175.91912389773623,1.2767531705603656,283.1393484343907
